,MethodEnum.KNN,MethodEnum.MLP,MethodEnum.SVM,MethodEnum.DT,MethodEnum.NB
0,0.6744186046511628,0.6959830866807611,0.5915433403805497,0.6959830866807611,0.7014799154334038
Mean Accuracy,0.6744186046511628,0.6959830866807611,0.5915433403805497,0.6959830866807611,0.7014799154334038
Standard Deviation,,,,,
